time,volume,complete,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,local_time,session_date,clock,atr,body,range,body_fraction,median_body,opening_range_high,opening_range_low,opening_range_candles
2026-06-26 15:35:00+00:00,449,True,1.14024,1.1406,1.1402,1.14052,1.14017,1.14052,1.14012,1.14044,1.14032,1.14068,1.14028,1.14061,2026-06-26 11:35:00-04:00,2026-06-26,11:35:00,0.0005471428571428413,0.000280000000000058,0.00039999999999995595,0.700000000000222,0.00023499999999998522,1.14248,1.14198,3.0
2026-06-26 15:40:00+00:00,511,True,1.14051,1.14058,1.1403,1.14052,1.14043,1.1405,1.14022,1.14043,1.14059,1.14067,1.14039,1.1406,2026-06-26 11:40:00-04:00,2026-06-26,11:40:00,0.0005342857142856935,1.0000000000065512e-05,0.00027999999999983594,0.03571428571454061,0.00023499999999998522,1.14248,1.14198,3.0
2026-06-26 15:45:00+00:00,346,True,1.14051,1.1408,1.14049,1.14064,1.14043,1.14072,1.14041,1.14056,1.14059,1.14088,1.14056,1.14073,2026-06-26 11:45:00-04:00,2026-06-26,11:45:00,0.0005378571428571137,0.00013000000000018552,0.00031000000000003247,0.41935483871023194,0.00019500000000005624,1.14248,1.14198,3.0
2026-06-26 15:50:00+00:00,1850,True,1.14066,1.14066,1.13949,1.13977,1.14058,1.14059,1.13938,1.13969,1.14074,1.14074,1.13958,1.13985,2026-06-26 11:50:00-04:00,2026-06-26,11:50:00,0.0005835714285714135,0.0008900000000000574,0.0011700000000001154,0.7606837606837348,0.00019500000000005624,1.14248,1.14198,3.0
2026-06-26 15:55:00+00:00,690,True,1.13978,1.1403,1.13978,1.14029,1.13971,1.14023,1.13971,1.14021,1.13986,1.14038,1.13986,1.14037,2026-06-26 11:55:00-04:00,2026-06-26,11:55:00,0.000581428571428574,0.0005100000000000104,0.000520000000000076,0.9807692307691076,0.00023499999999998522,1.14248,1.14198,3.0
2026-06-26 16:00:00+00:00,529,True,1.14032,1.14034,1.13998,1.14018,1.14024,1.14025,1.1399,1.14011,1.14039,1.14042,1.14006,1.14026,2026-06-26 12:00:00-04:00,2026-06-26,12:00:00,0.0005114285714285753,0.000140000000000029,0.00035999999999991594,0.3888888888890602,0.00024999999999997247,1.14248,1.14198,3.0
2026-06-26 16:05:00+00:00,407,True,1.14016,1.14034,1.1399,1.13996,1.14009,1.14025,1.13983,1.13989,1.14024,1.14042,1.13998,1.14004,2026-06-26 12:05:00-04:00,2026-06-26,12:05:00,0.0004628571428571458,0.00019999999999997797,0.00043999999999999595,0.4545454545454087,0.00023499999999998522,1.14248,1.14198,3.0
2026-06-26 16:10:00+00:00,365,True,1.13996,1.14004,1.13977,1.13994,1.13988,1.13996,1.13969,1.13987,1.14004,1.14011,1.13985,1.14001,2026-06-26 12:10:00-04:00,2026-06-26,12:10:00,0.00043642857142855984,2.0000000000131024e-05,0.00026999999999999247,0.07407407407456142,0.00021499999999996522,1.14248,1.14198,3.0
2026-06-26 16:15:00+00:00,272,True,1.13994,1.14001,1.13984,1.1399,1.13987,1.13993,1.13975,1.13981,1.14002,1.14009,1.13992,1.13998,2026-06-26 12:15:00-04:00,2026-06-26,12:15:00,0.0004057142857142791,4.0000000000040004e-05,0.00017000000000000348,0.23529411764728933,0.00017000000000000348,1.14248,1.14198,3.0
2026-06-26 16:20:00+00:00,830,True,1.1399,1.13991,1.13912,1.13912,1.13982,1.13984,1.13905,1.13905,1.13998,1.13998,1.1392,1.1392,2026-06-26 12:20:00-04:00,2026-06-26,12:20:00,0.0004378571428571406,0.0007800000000000029,0.0007900000000000684,0.987341772151817,0.00017000000000000348,1.14248,1.14198,3.0
2026-06-26 16:25:00+00:00,431,True,1.13912,1.13928,1.13902,1.13912,1.13904,1.13921,1.13895,1.13905,1.13921,1.13936,1.1391,1.1392,2026-06-26 12:25:00-04:00,2026-06-26,12:25:00,0.0004371428571428661,0.0,0.000260000000000149,0.0,0.00021499999999996522,1.14248,1.14198,3.0
2026-06-26 16:30:00+00:00,604,True,1.13915,1.13946,1.13887,1.13887,1.13907,1.13938,1.13879,1.13879,1.13923,1.13955,1.13895,1.13895,2026-06-26 12:30:00-04:00,2026-06-26,12:30:00,0.0004485714285714331,0.000280000000000058,0.0005899999999998684,0.4745762711866448,0.00021499999999996522,1.14248,1.14198,3.0
